"Source_country","Contestant","2016","2017","2022","2023","2019","2018","2021","Total_points","Sum_points","rate"
"Italy","Albania",0,0,0,7,13,12,10,42,401,10.5
"Georgia","Armenia",12,13,10,22,0,0,0,57,503,11.3
"Sweden","Australia",24,10,10,1,11,8,0,64,1343,4.8
"Belgium","Austria",8,3,0,12,0,15,0,38,706,5.4
"Georgia","Azerbaijan",7,22,3,0,17,0,8,57,710,8
"Ukraine","Belarus",0,20,0,0,0,0,0,20,114,17.5
"Netherlands","Belgium",16,12,10,14,0,0,6,58,864,6.7
"United Kingdom","Bulgaria",13,19,0,0,0,14,13,59,1258,4.7
"Slovenia","Croatia",8,12,0,12,0,0,0,32,321,10
"Greece","Cyprus",20,24,0,16,24,24,24,132,929,14.2
"Iceland","Czech Republic",5,0,2,6,8,11,0,32,646,5
"Hungary","Denmark",0,5,0,0,6,24,0,35,423,8.3
"Latvia","Estonia",0,0,8,18,15,18,0,59,630,9.4
"Estonia","Finland",0,0,13,22,0,12,19,66,901,7.3
"Armenia","France",19,11,7,17,4,9,0,67,1289,5.2
"Armenia","Georgia",18,0,0,0,0,0,0,18,104,17.3
"Switzerland","Germany",8,3,2,4,6,18,0,41,408,10
"Cyprus","Greece",0,24,22,0,24,0,24,94,536,17.5
"Serbia","Hungary",10,22,0,0,0,12,0,44,401,11
"Australia","Iceland",0,0,0,0,18,0,20,38,630,6
"Germany","Ireland",0,0,0,0,0,15,0,15,136,11
"France","Israel",3,9,0,22,12,24,10,80,1181,6.8
"Malta","Italy",15,24,17,22,24,22,12,136,2380,5.7
"Lithuania","Latvia",19,0,0,0,0,0,0,19,132,14.4
"Latvia","Lithuania",18,0,11,17,0,16,18,80,856,9.3
"Azerbaijan","Malta",11,0,0,0,14,0,7,32,515,6.2
"Romania","Moldova",0,20,12,19,0,19,18,88,1047,8.4
"Belgium","Netherlands",14,10,10,0,18,22,0,74,1104,6.7
"Serbia","North Macedonia",0,0,0,0,24,0,0,24,305,7.9
"Denmark","Norway",0,13,8,20,17,8,11,77,1154,6.7
"United Kingdom","Poland",10,10,18,8,0,0,0,46,537,8.6
"Switzerland","Portugal",0,24,12,7,0,13,15,71,1216,5.8
"Moldova","Romania",0,24,10,0,0,0,0,34,347,9.8
"Azerbaijan","Russia",24,0,0,0,24,0,18,66,1065,6.2
"Georgia","San Marino",0,0,0,0,10,0,7,17,127,13.4
"Croatia","Serbia",14,0,24,11,12,12,19,92,761,12.1
"Serbia","Slovenia",0,0,0,20,10,8,0,38,247,15.4
"Portugal","Spain",0,5,22,13,12,14,0,66,760,8.7
"Denmark","Sweden",16,24,17,20,22,11,12,122,2336,5.2
"Albania","Switzerland",0,0,0,7,14,0,24,45,966,4.7
"Moldova","Ukraine",22,0,24,18,0,15,10,89,1933,4.6
"Ireland","United Kingdom",10,4,14,2,3,10,0,43,722,6
